sample_id,seq5861 Rhizomicrobium;sp44402,seq5453 Rhizomicrobium;sp44402,seq2014 Rhizomicrobium;sp44402,seq2924 Rhizomicrobium;sp44402,seq6260 Rhizomicrobium;sp44402,seq6670 Rhizomicrobium;sp44402,seq6501 Rhizomicrobium;sp44398,seq938 Rhizomicrobium;sp44393-sp44402,seq696 Rhizomicrobium;sp44393,seq460 Rhizomicrobium;sp44393,seq2566 Rhizomicrobium;sp44393,seq1484 Rhizomicrobium;sp44393,seq1711 Rhizomicrobium;sp44393-sp44398-sp44402,seq548 Rhizomicrobium;sp44393,seq3984 Rhizomicrobium;sp44402,seq5553 Rhizomicrobium;sp44402,seq6422 Rhizomicrobium;sp44402,seq5245 Rhizomicrobium;sp44402,seq1577 Rhizomicrobium;sp44402,seq4099 Rhizomicrobium;sp44398-sp44402,seq1077 Rhizomicrobium;sp44398,seq4408 Rhizomicrobium;sp44398,seq3711 Rhizomicrobium;sp44398,seq2296 Rhizomicrobium;sp44398,seq5042 Rhizomicrobium;sp44398,seq1744 Rhizomicrobium;sp44398,seq2109 Rhizomicrobium;sp44398,seq4614 Rhizomicrobium;sp44398,seq3514 Rhizomicrobium;sp44398,seq5448 Rhizomicrobium;sp44398,seq6727 Rhizomicrobium;sp44398,seq6411 Rhizomicrobium;sp44398,seq6674 Rhizomicrobium;sp44398,seq5368 Rhizomicrobium;sp44398,seq189 Rhizomicrobium;sp44398,seq1880 Rhizomicrobium;sp44398,seq4744 Rhizomicrobium;sp44397,seq2881 Rhizomicrobium;sp44397,seq3899 Rhizomicrobium;sp44397,seq1274 Rhizomicrobium;sp44397,seq835 Rhizomicrobium;sp44397,seq2505 Rhizomicrobium;sp44400,seq1787 Rhizomicrobium;sp44401,seq3424 Rhizomicrobium;sp44399-sp44401,seq2586 Rhizomicrobium;sp44398,seq6799 Rhizomicrobium;sp44398,seq5039 Rhizomicrobium;sp44397-sp44398,seq36 Rhizomicrobium;sp44398,seq1564 Rhizomicrobium;sp44398-sp44402,seq328 Rhizomicrobium;sp44398,seq1480 Rhizomicrobium;sp44398,seq1676 Rhizomicrobium;sp44398,seq4260 Rhizomicrobium;sp44398,seq2265 Rhizomicrobium;sp44398,seq4415 Rhizomicrobium;sp44398,seq1956 Rhizomicrobium;sp44403,seq4763 Rhizomicrobium;sp44403,seq1136 Rhizomicrobium;sp44396,seq513 Rhizomicrobium;sp44399,seq600 Rhizomicrobium;sp44399,seq2514 Rhizomicrobium;sp44399,seq4457 Rhizomicrobium;sp44399,seq2641 Rhizomicrobium;sp44404,seq1514 Rhizomicrobium;sp44403,seq67 Rhizomicrobium;sp44403,seq2774 Rhizomicrobium;sp44403,seq5948 Rhizomicrobium;sp44403,seq5596 Rhizomicrobium;electricum,seq1235 Rhizomicrobium;sp44404,seq5959 Rhizomicrobium;sp44404,seq5470 Rhizomicrobium;sp44404,seq4262 Rhizomicrobium;sp44404,seq6672 Rhizomicrobium;sp44404,seq6099 Rhizomicrobium;sp44404,seq6006 Rhizomicrobium;electricum-palustre-sp44400,seq3286 Rhizomicrobium;electricum,seq6676 Rhizomicrobium;palustre,seq1754 Rhizomicrobium;palustre,seq69 Rhizomicrobium;palustre,seq3783 Rhizomicrobium;palustre,seq3677 Rhizomicrobium;palustre,seq360 Rhizomicrobium;palustre,seq6218 Rhizomicrobium;palustre,seq4021 Rhizomicrobium;palustre,seq4006 Rhizomicrobium;palustre,seq3564 Rhizomicrobium;palustre
Control.CSUSM,0,0,19,0,0,11,12,70,14,104,0,0,37,202,0,0,0,0,0,0,66,0,0,0,0,30,0,25,0,0,0,0,0,0,221,0,0,27,0,34,40,18,0,0,0,0,0,1047,0,84,60,70,0,0,0,41,0,0,189,53,0,0,0,20,1784,75,0,0,210,0,17,0,0,0,0,0,0,0,544,0,41,178,13,0,0,0
Zeus.CSUSM,0,0,11,13,0,0,0,67,91,0,31,81,12,40,0,0,0,0,15,0,25,0,0,0,0,69,39,0,0,0,11,0,0,0,560,0,0,0,37,48,38,0,0,0,0,0,0,760,0,188,55,55,0,0,0,0,0,44,98,67,40,27,0,26,1591,0,0,16,11,0,0,0,0,0,0,0,0,0,461,0,0,63,0,0,0,0
Brewers.Gold.CSUSM,0,0,17,0,0,0,0,25,0,73,0,0,21,141,0,0,0,0,0,16,48,0,0,0,0,0,18,0,0,0,0,0,0,0,221,0,0,0,0,24,55,0,0,20,0,0,0,1197,123,40,43,0,0,21,0,0,0,0,0,39,19,0,0,0,42,0,0,0,0,0,0,0,0,13,0,0,0,0,456,0,0,210,0,0,0,45
Neo1.CSUSM,0,0,18,0,0,0,0,52,0,221,0,0,0,85,0,0,0,0,26,0,37,0,0,0,0,19,0,0,0,0,0,0,0,0,314,0,0,0,0,30,55,0,0,0,13,0,0,708,99,45,0,0,0,0,0,0,0,30,117,48,0,0,0,0,374,0,0,0,0,0,0,30,0,0,0,0,0,0,248,0,0,190,0,0,0,0
Comet.CSUSM,0,0,0,36,0,0,0,0,89,45,0,25,0,31,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,44,0,0,0,0,0,0,582,0,0,0,0,30,0,0,0,0,0,76,0,0,0,0,0,309,0,0,0,0,0,0,0,0,0,0,0,0,0,682,0,0,114,0,13,0,0
Columbus.CSUSM,0,0,23,0,0,0,0,43,0,140,0,0,25,76,0,0,0,18,36,0,24,0,0,0,0,18,0,0,46,0,0,0,0,0,179,157,23,0,0,0,32,34,0,0,11,0,0,607,0,0,0,0,0,27,0,0,0,0,41,36,0,0,83,29,194,0,0,0,0,0,0,0,0,0,0,30,0,0,634,0,0,185,0,21,35,0
Saaz72.CSUSM,0,0,0,0,0,0,0,22,36,160,0,0,22,53,13,0,12,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,17,83,0,0,0,0,0,39,0,0,0,0,0,0,823,0,347,35,0,0,16,0,15,23,0,113,35,0,0,0,0,148,0,0,0,73,14,0,0,0,0,0,0,0,0,384,0,0,268,0,0,0,0
Sorachi.Ace.CSUSM,14,17,0,19,0,0,0,61,88,65,16,86,18,83,0,0,0,0,0,0,57,0,0,108,20,0,0,0,0,0,0,0,0,0,345,0,0,14,0,45,94,23,171,28,21,0,20,596,0,325,0,16,0,27,0,12,0,153,119,311,0,0,0,22,458,0,0,0,21,0,0,0,0,0,0,22,11,76,692,26,0,48,0,0,0,0
Southern.Cross.CSUSM,0,0,26,0,13,0,0,67,369,248,0,0,51,108,22,16,0,0,67,0,51,28,41,0,0,42,0,0,0,17,0,0,11,0,199,0,0,15,0,41,53,0,0,0,20,11,0,807,0,381,48,52,0,0,0,79,0,0,174,70,32,0,0,24,447,0,14,0,0,0,0,0,11,0,14,0,0,43,385,0,0,126,0,0,0,0
Hallertauer.CSUSM,0,0,0,0,0,0,0,46,0,65,28,29,0,78,0,0,0,0,49,0,32,0,0,0,0,0,33,0,0,0,0,12,0,0,145,0,0,14,0,30,63,0,0,0,0,0,0,687,0,62,0,0,0,0,0,0,0,72,87,59,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,671,0,0,52,0,0,0,0
Fuggle.UK,0,0,26,0,0,0,0,34,26,37,13,20,0,35,0,0,0,0,0,17,36,0,0,0,0,0,35,0,0,0,0,0,0,0,277,0,0,0,0,48,59,17,0,0,22,0,0,610,0,131,0,0,0,20,28,0,0,64,0,121,0,0,0,112,174,0,0,0,0,0,0,0,0,0,0,0,0,58,530,13,0,49,0,0,0,0
